LO_ms[pb]	NLO_ms[pb]
1.0	1.3
1.01	1.3
1.01	1.31
1.01	1.31
1.01	1.3
1.01	1.29
1.01	1.31
1.01	1.31
1.01	1.31
1.01	1.28
1.01	1.31
1.01	1.3
1.01	1.31
1.01	1.3
1.01	1.3
1.01	1.3
1.01	1.31
1.01	1.3
1.01	1.3
1.01	1.31
1.01	1.31
1.01	1.3
1.01	1.31
1.01	1.29
1.01	1.31
1.01	1.3
1.01	1.31
1.01	1.31
1.01	1.3
1.02	1.31
1.02	1.33
1.02	1.32
1.02	1.31
1.02	1.3
1.02	1.32
1.02	1.33
1.02	1.31
1.02	1.27
1.02	1.33
1.02	1.29
1.02	1.33
1.02	1.29
1.02	1.32
1.02	1.3
1.02	1.32
1.02	1.31
1.02	1.32
1.02	1.3
1.02	1.31
1.02	1.32
1.02	1.32
1.02	1.32
1.02	1.33
1.02	1.31
1.02	1.33
1.02	1.32
1.03	1.33
1.03	1.34
1.03	1.33
1.03	1.33
1.03	1.32
1.03	1.32
1.03	1.32
1.03	1.32
1.03	1.31
1.03	1.34
1.03	1.33
1.03	1.33
1.03	1.33
1.03	1.32
1.03	1.32
1.03	1.32
1.03	1.34
1.03	1.33
1.03	1.32
1.03	1.32
1.03	1.33
1.04	1.34
1.04	1.34
1.04	1.34
1.04	1.33
1.04	1.34
1.04	1.34
1.04	1.35
1.04	1.33
1.04	1.34
1.04	1.34
1.04	1.35
1.04	1.33
1.05	1.36
1.05	1.35
1.05	1.37
1.05	1.36
1.05	1.37
1.05	1.36
1.05	1.36
1.05	1.36
1.05	1.36
1.05	1.35
1.05	1.34
1.05	1.34
1.05	1.36
1.05	1.34
1.05	1.36
1.05	1.35
1.05	1.35
1.05	1.37
1.05	1.32
1.05	1.35
1.05	1.32
1.05	1.36
1.05	1.35
1.05	1.34
1.05	1.34
1.05	1.35
1.05	1.36
1.05	1.37
1.06	1.34
1.06	1.38
1.06	1.36
1.06	1.36
1.06	1.37
1.06	1.37
1.06	1.37
1.06	1.36
1.06	1.36
1.06	1.38
1.06	1.35
1.06	1.37
1.06	1.38
1.06	1.37
1.06	1.36
1.06	1.37
1.06	1.34
1.06	1.38
1.06	1.36
1.06	1.35
1.06	1.36
1.06	1.34
1.06	1.38
1.07	1.39
1.07	1.38
1.07	1.36
1.07	1.39
1.07	1.38
1.07	1.39
1.07	1.37
1.07	1.39
1.07	1.39
1.07	1.38
1.07	1.38
1.07	1.39
1.07	1.37
1.07	1.37
1.07	1.37
1.07	1.38
1.07	1.39
1.08	1.39
1.08	1.33
1.08	1.38
1.08	1.4
1.08	1.39
1.08	1.4
1.08	1.38
1.08	1.39
1.08	1.4
1.08	1.4
1.08	1.39
1.08	1.41
1.09	1.41
1.09	1.42
1.09	1.39
1.09	1.4
1.09	1.41
1.09	1.4
1.09	1.41
1.09	1.41
1.09	1.42
1.09	1.41
1.09	1.4
1.09	1.41
1.09	1.4
1.09	1.39
1.09	1.41
1.09	1.41
1.09	1.41
1.09	1.39
1.09	1.39
1.1	1.4
1.1	1.39
1.1	1.41
1.1	1.41
1.1	1.43
1.1	1.43
1.1	1.43
1.1	1.42
1.1	1.42
1.1	1.43
1.1	1.43
1.1	1.43
1.1	1.43
1.1	1.43
1.1	1.42
1.1	1.41
1.1	1.42
1.1	1.4
1.1	1.42
1.1	1.42
1.11	1.4
1.11	1.43
1.11	1.43
1.11	1.43
1.11	1.44
1.11	1.42
1.11	1.43
1.11	1.44
1.11	1.43
1.11	1.45
1.11	1.44
1.11	1.43
1.11	1.42
1.11	1.44
1.11	1.44
1.11	1.43
1.11	1.43
1.11	1.44
1.11	1.44
1.11	1.42
1.11	1.42
1.11	1.44
1.11	1.41
1.11	1.44
1.11	1.45
1.11	1.44
1.11	1.44
1.11	1.44
1.13	1.45
1.13	1.45
1.13	1.45
1.13	1.47
1.13	1.43
1.13	1.46
1.13	1.46
1.13	1.46
1.13	1.46
1.13	1.45
1.13	1.46
1.13	1.46
1.13	1.46
1.13	1.46
1.13	1.44
1.13	1.46
1.13	1.46
1.13	1.45
1.13	1.42
1.13	1.47
1.13	1.47
1.13	1.46
1.14	1.46
1.14	1.48
1.14	1.48
1.14	1.46
1.14	1.48
1.14	1.46
1.14	1.47
1.14	1.42
1.14	1.48
1.14	1.48
1.14	1.48
1.14	1.47
1.14	1.48
1.14	1.48
1.14	1.48
1.14	1.48
1.14	1.47
1.14	1.48
1.14	1.46
1.14	1.47
1.14	1.48
